"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"yp_base[4]",38.253667275,38.2613,1.54748304778998,1.44160611,35.802575,40.75221,1.00038929789813,1443.34795017519,1307.54120617588
"yp_base[5]",38.26637975,38.2735,1.54609738854597,1.43908569,35.817985,40.762715,1.00038999258829,1443.61649684806,1307.54120617588
"yp_base[6]",38.798777975,38.80165,1.48845035077898,1.38119016,36.439895,41.18997,1.00038815308335,1453.62894122586,1338.69001415419
"yp_base[7]",39.639846025,39.64295,1.39891790808739,1.29853521,37.434875,41.881165,1.00053459086208,1472.22312003504,1390.88288790321
"yp_base[8]",37.5942091,37.5987,1.6198099610586,1.50965745,35.028405,40.19646,1.00039967929573,1432.2930603327,1303.98647940967
"yp_base[9]",39.19104695,39.19705,1.44644369810361,1.34820231000001,36.90296,41.507625,1.0003811766581,1461.30343197452,1394.79383071905
"yp_base[10]",39.98001825,39.9877,1.36331190100864,1.26799365,37.83885,42.17516,1.00058590207373,1482.48480070848,1401.08117014301
"yp_base[11]",38.232270425,38.2397,1.54981362392387,1.44471957,35.7758,40.73451,1.00038885453359,1442.89737333691,1307.54120617588
"yp_base[12]",38.87488035,38.87435,1.48026854898635,1.38074538,36.528515,41.24926,1.00038419702448,1455.27803004475,1348.45280300058
"yp_base[13]",38.7179152,38.71875,1.49716168828359,1.39275444,36.350985,41.119695,1.00038887444779,1452.20039831702,1338.69001415419
"yp_base[14]",40.027171175,40.0373,1.35840672911394,1.26547323,37.892805,42.213235,1.00064978838941,1484.16808603515,1401.18063727536
"yp_base[15]",38.76599225,38.768,1.49198008751133,1.38563796,36.404495,41.163355,1.00038923324017,1452.98095710878,1338.69001415419
"yp_base[16]",38.1261764,38.13595,1.56139066260605,1.45932318,35.649085,40.646795,1.00038919126619,1441.46047791946,1294.18935561028
"yp_base[17]",38.0667896,38.0758,1.56788248656421,1.46547597,35.580195,40.597685,1.00038981598788,1440.5966968466,1294.18935561028
"yp_base[18]",37.778273075,37.78195,1.59952843378609,1.49053190999999,35.23951,40.3573,1.00039710383599,1435.40934266746,1294.33364701611
"yp_base[19]",39.5570194,39.5598,1.40764377874894,1.30720841999999,37.338355,41.814935,1.0005110476304,1469.86168727665,1390.88288790321
"yp_base[20]",37.043779375,37.0511,1.68085496570378,1.56844254,34.380425,39.742515,1.00040592891259,1424.9754771385,1278.28085936445
"yp_base[21]",38.696651,38.6978,1.49945350979816,1.393644,36.32692,41.100445,1.00038845070124,1451.81753095975,1338.69001415419
"yp_base[22]",39.00596355,39.01075,1.46621045372759,1.36799502,36.686865,41.350185,1.0003808720958,1457.37996953654,1394.79383071905
"yp_base[23]",37.957292075,37.96055,1.57987187921945,1.47681786,35.45009,40.50853,1.00039127885211,1438.95667137224,1294.18935561028
"yp_base[24]",38.6496203,38.65035,1.5045297953943,1.39972265999999,36.273355,41.062755,1.00038771163479,1451.16158277549,1338.69001415419
"yp_base[25]",38.302961475,38.3081,1.54211408079392,1.43701005,35.861465,40.79282,1.00039091726615,1444.18715745233,1307.54120617588
"yp_base[26]",37.72072795,37.72485,1.60586177853567,1.49846382000001,35.17168,40.30704,1.00039626396342,1434.24068646734,1303.98647940967
"yp_base[27]",38.13575805,38.14595,1.56034354024237,1.45843362,35.65947,40.654695,1.00038833339322,1441.70054071417,1294.18935561028
"yp_base[28]",40.50234355,40.5132,1.30941293890222,1.21565787,38.450515,42.60565,1.00093578613295,1499.63374872957,1406.26330475499
"yp_base[29]",38.5467069,38.54995,1.51565795432578,1.41395562000001,36.15139,40.981895,1.00038792528776,1449.70044664721,1338.69001415419
"yp_base[30]",37.53102105,37.5352,1.62678742281579,1.51610676,34.95231,40.14467,1.00039810238347,1430.98017761294,1303.98647940967
"yp_base[31]",38.066514425,38.07555,1.56791230986694,1.46547597,35.57989,40.597485,1.00038970330499,1440.61089947261,1294.18935561028
"yp_base[32]",38.387157875,38.38995,1.53295922223399,1.42737315,35.9614,40.85659,1.00038773423761,1446.35398989722,1324.89814729602
"yp_base[33]",38.605498975,38.608,1.50929835870856,1.40706153,36.221095,41.028875,1.00038769647795,1450.63578829972,1338.69001415419
